id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
166,3,16,325,,,5,101668,2,-2,6,-6,101.9,4,4,12.0,11.0,12,Jamie,11.5,8,11,94.5,True,436.0,1080,,,96,0,0,0,101668.jpg,7.7,0,0,Vardy,35.3,False,,a,9,13,411.0,92,2261498,335444,566360,3527,1.2,9.7,Vardy,1
192,4,11,235,100.0,100.0,3,110979,1,-1,6,-6,311.5,4,3,7.5,6.5,7,Sadio,6.5,8,7,108.8,True,373.8,966,,2019-09-22T20:00:17.288665Z,121,0,0,0,110979.jpg,6.9,0,0,Mané,35.7,False,,a,10,14,403.0,83,2135666,116290,770571,9405,0.5,6.9,Mané,1
460,2,16,277,100.0,100.0,4,173879,1,-1,10,-10,142.9,4,4,6.3,7.3,8,Tammy,6.8,11,10,104.5,True,401.8,887,,2019-09-14T17:00:16.854161Z,80,1,0,0,173879.jpg,6.8,0,0,Abraham,50.6,False,,a,6,8,501.0,81,3707298,113013,545946,25529,0.9,10.3,Abraham,2
215,10,10,317,100.0,100.0,5,61366,0,0,7,-7,653.8,3,3,3.7,3.2,2,Kevin,3.2,8,2,132.1,True,374.8,873,,2019-10-01T13:00:13.781598Z,102,0,0,0,61366.jpg,6.9,0,0,De Bruyne,39.9,False,,a,11,43,291.0,76,2995372,38829,1527264,62285,0.3,7.5,De Bruyne,0
191,3,8,204,75.0,100.0,3,118748,0,0,-2,2,234.4,2,3,5.2,4.2,8,Mohamed,4.2,8,6,120.4,True,330.8,942,Ankle injury - 75% chance of playing,2019-11-12T23:00:18.865321Z,123,0,0,0,118748.jpg,6.5,0,0,Salah,26.7,False,,d,10,14,640.0,72,951075,30472,1984293,49077,0.3,5.9,Salah,0
210,3,6,285,,,2,37572,0,0,0,0,138.8,2,4,2.7,2.2,2,Sergio,2.2,12,9,103.8,True,351.6,734,,,120,0,0,0,37572.jpg,6.4,0,0,Agüero,21.8,False,,a,11,43,547.0,70,1331925,9356,1200288,102272,0.2,5.8,Agüero,0
297,1,10,236,,,5,153723,1,-1,9,-9,188.3,3,2,6.8,6.8,2,John,7.8,9,3,64.0,True,245.6,1048,,,49,0,0,0,153723.jpg,5.8,0,0,Lundstram,41.9,False,,a,15,49,205.0,70,2539600,107909,273804,7263,1.6,14.6,Lundstram,3
11,1,12,264,,,2,54694,0,0,0,0,177.6,1,4,4.5,4.0,2,Pierre-Emerick,3.5,17,8,97.7,False,337.0,1080,,,110,0,0,0,54694.jpg,5.8,0,0,Aubameyang,24.8,False,,a,1,3,464.0,69,1211502,29372,1329288,101906,0.3,6.3,Aubameyang,2
214,1,7,230,,,4,103955,-1,1,0,0,332.4,2,3,5.3,4.8,2,Raheem,4.8,13,7,140.3,True,352.2,970,,,120,0,0,0,103955.jpg,6.1,0,0,Sterling,35.6,False,,a,11,43,718.0,67,1586373,12534,1412066,117491,0.4,5.6,Sterling,4
233,3,12,239,100.0,100.0,3,176297,1,-1,1,-1,240.2,1,4,7.2,7.2,5,Marcus,6.2,10,6,106.7,False,325.0,1036,,2019-10-30T23:30:12.727095Z,86,0,2,0,176297.jpg,5.2,0,0,Rashford,14.0,False,,a,12,1,501.0,63,1206870,64596,1566462,20636,0.7,7.4,Rashford,2
171,3,8,223,75.0,100.0,4,172780,1,-1,5,-5,425.0,0,3,7.5,6.5,9,James,7.0,7,4,100.8,False,289.2,962,Calf injury - 75% chance of playing,2019-11-16T20:30:13.269322Z,75,0,0,0,172780.jpg,5.6,0,0,Maddison,21.4,False,,d,9,13,294.0,62,1407539,209776,620343,11880,0.9,8.4,Maddison,1
219,5,7,216,100.0,25.0,6,20664,-1,1,1,-1,219.1,3,3,5.7,1.3,0,David,5.2,5,3,84.1,False,245.8,695,,2019-11-03T23:30:13.800192Z,76,0,0,0,20664.jpg,5.5,0,0,Silva,8.5,False,,a,11,43,376.0,61,1081593,17118,868856,71644,0.7,8.0,David Silva,0
278,2,9,227,,,1,57127,-1,1,2,-2,191.0,1,4,1.3,1.8,2,Teemu,1.8,28,6,101.4,False,296.8,1065,,,67,0,0,0,57127.jpg,5.1,0,0,Pukki,20.7,False,,a,14,45,529.0,61,3284152,7198,2405041,204977,0.3,9.1,Pukki,2
409,2,13,218,100.0,100.0,4,102057,0,0,-2,2,228.4,0,4,5.1,7.3,9,Raúl,6.8,13,5,94.4,False,291.6,1032,,2019-11-10T16:00:17.735784Z,73,0,0,0,102057.jpg,5.1,0,0,Jiménez,13.4,False,,a,20,39,425.0,61,712585,60944,1210001,27302,0.9,8.4,Jiménez,2
159,0,6,249,,,5,111931,0,0,3,-3,181.4,2,2,5.7,4.7,7,Ricardo Domingos,5.2,8,2,62.0,True,353.6,1080,,,63,0,0,0,111931.jpg,5.1,0,0,Barbosa Pereira,14.9,False,,a,9,13,85.0,61,893503,50026,292909,19611,0.8,9.7,Pereira,0
463,2,6,199,100.0,75.0,3,184341,-1,1,8,-8,327.0,0,3,2.5,2.6,3,Mason,3.0,17,4,97.6,False,272.6,1038,,2019-11-05T22:00:17.579402Z,68,0,0,0,184341.jpg,4.8,0,0,Mount,33.0,False,,a,6,8,375.0,58,3209418,38407,1144344,115901,0.4,8.5,Mount,1
181,4,7,284,75.0,100.0,2,122798,1,-1,0,0,301.1,0,2,7.0,6.0,5,Andrew,6.0,10,1,82.3,True,338.4,1080,Ankle injury - 75% chance of playing,2019-11-12T11:30:18.442088Z,70,0,0,0,122798.jpg,4.8,0,0,Robertson,22.1,False,,d,10,14,183.0,57,550129,68814,1113108,22242,0.9,8.1,Robertson,0
448,3,4,225,,,5,166989,0,0,1,-1,318.0,2,3,7.7,6.7,6,Youri,7.2,8,3,83.1,False,263.6,1071,,,66,0,0,0,166989.jpg,4.8,0,0,Tielemans,10.2,False,,a,9,13,248.0,57,651452,87559,337693,15602,1.1,8.6,Tielemans,0
338,1,8,186,100.0,100.0,1,78830,0,0,-2,2,116.6,1,4,3.3,3.8,2,Harry,2.8,16,6,73.7,False,259.8,984,,2019-11-03T16:00:13.421411Z,108,0,0,0,78830.jpg,5.2,0,0,Kane,15.1,False,,a,17,6,361.0,57,843432,7610,1753207,63200,0.3,5.3,Kane,0
187,4,9,222,,,3,92217,-1,1,-1,1,235.4,0,4,3.0,2.0,2,Roberto,2.0,8,3,113.9,False,264.6,998,,,94,0,0,0,92217.jpg,4.7,0,0,Firmino,10.6,False,,a,10,14,639.0,56,706888,12141,790954,46808,0.2,5.9,Firmino,0
150,3,6,177,,,3,212319,0,0,-1,1,167.3,1,3,6.3,6.3,10,Richarlison,5.8,17,3,85.8,False,263.4,1027,,,79,0,0,0,212319.jpg,4.7,0,0,de Andrade,7.2,False,,a,8,11,427.0,56,541316,43498,679205,9223,0.7,7.1,Richarlison,1
218,2,5,239,0.0,,3,165809,0,0,-1,1,255.4,2,3,5.7,5.2,10,Bernardo Mota,5.2,12,5,104.5,False,328.2,724,Suspended until 30 Nov,2019-11-13T14:30:18.982377Z,79,0,0,0,165809.jpg,5.1,0,0,Veiga de Carvalho e Silva,12.5,False,,s,11,43,461.0,56,675836,20208,1497317,53655,0.7,7.1,Bernardo Silva,2
47,0,11,280,,,4,131897,0,0,2,-2,0.0,0,1,4.5,4.0,7,Mathew,5.0,17,0,34.8,True,348.2,1080,,,47,0,0,0,131897.jpg,4.6,0,44,Ryan,16.2,False,,a,4,36,0.0,55,669876,41415,410822,10374,1.1,11.7,Ryan,0
